,text
428,"I had hoped for more of an awesome phone, but I was not impressed. This is my second iPhone. I will list the pros: battery saver mode, volume, and the storage (128gb). I’ve had the phone since October and I am nowhere near using even 1/3 of the storage space. Now my cons: battery life & camera. I bought this phone refurbished (or Renewed) via Amazon. After receiving it and giving it a full charge, battery life was only at 81%. That sucks. 90 or more would have been nice. So as far as a full charge lasting a full day, that’s a no for me. Should’ve returned it when I saw this, but I really needed a phone and was heading out of town. The physical condition of the phone was really good. There was a scratch on the edge of the phone, other than that, my other physical issues. It has been in a case with a screen protector since day 1. I actually bought 3 cases so that it was covered. Overall I’d give this phone a B-. Mainly due to the drained battery it came with and the less than decent camera."
429,"If you’re being skeptical and not sure if it’s worth it, let me go ahead and let you know that’s it’s 100% worth it. This is actually my third purchase from here. The only thing I didn’t like is that I couldn’t get the phone with same day shipping 😂"
430,It’s a good phone just the battery health came at 87% and found a red dot on the screen
431,"The phone is super super nice. the only issue i had was it was slower to update. but got that figured out. also is taking a while to transfer everything from other iphone. Other than those, it’s amazing to use!"
432,It works great no issues at all
433,I’ve purchased every iPhone since the iPhone 6 was released from Amazon 2nd time buying from this seller. Every phone showed up in perfect condition.
434,Was a great phone till it was stolen
435,I bought a renewed iphone XR. No problems with anything at 2 weeks. Works and looks just like a new phone
436,Very happy with the iPhone XR from Amazon. It's like new and all features work. Great price as well. Thank you Amazon.
437,I bought this phone as a work phone. It is used but you really can’t tell. It was like getting a new phone at 1/3 of the price! Very happy!!
438,Okay first of all.. I bought this phone from the cellular resource.. before my phone came I read so many reviews and HARDLY anyone shared who they got the phone from.. now that that’s covered the phone is in mint condition no scratches on my screen or on the back.. a few small scratches on the sides.. nothing to make me send it back (SO FAR).. I’m in love with it.. I upgraded from the 7 plus..
